Designator,Mid X,Mid Y,Layer,Rotation
R54,74.995mm,71.0mm,Bottom,0.0
F1,68.4mm,65.5mm,Top,270.0
F2,53.0mm,65.0mm,Top,270.0
F3,50.5mm,65.0mm,Top,270.0
J1,77.404267mm,89.716479mm,Top,0.0
R1,64.0mm,65.5mm,Top,270.0
R2,60.5mm,65.5mm,Top,270.0
R3,55.3mm,65.5mm,Top,270.0
R4,71.4mm,65.5mm,Top,270.0
R5,57.8mm,65.5mm,Top,270.0
R6,77.0mm,65.5mm,Top,270.0
R7,75.1mm,65.5mm,Top,270.0
R8,73.3mm,65.5mm,Top,270.0
R9,37.5mm,66.5mm,Top,270.0
R10,35.5mm,66.5mm,Top,270.0
R11,10.095mm,68.5mm,Top,0.0
R12,22.0mm,66.5mm,Top,270.0
R13,33.5mm,66.5mm,Top,270.0
R14,31.5mm,66.5mm,Top,270.0
R15,28.25mm,66.5mm,Top,270.0
R16,24.5mm,66.5mm,Top,270.0
R148,27.175005mm,23.424995000000003mm,Bottom,270.0
R142,26.275005mm,24.824995mm,Bottom,270.0
U108,59.366005mm,41.005195mm,Top,90.0
VD103,54.780005mm,43.824995mm,Bottom,0.0
U101,29.928605mm,15.774995mm,Top,0.0
C119,34.655605mm,23.425095mm,Bottom,90.0
R147,26.858705mm,32.436595mm,Bottom,90.0
R146,28.275005mm,12.758895mm,Bottom,0.0
R141,26.275005mm,25.824995mm,Bottom,270.0
U102,31.646505mm,20.881495mm,Bottom,270.0
R109,32.242205mm,20.941295mm,Top,270.0
R108,32.631005mm,18.024995mm,Bottom,270.0
Q103,30.178205000000002mm,21.667794999999998mm,Top,270.0
Q102,27.575005000000004mm,26.219995mm,Top,270.0
Q101,27.340005000000005mm,20.497495mm,Bottom,90.0
Q100,29.980005000000002mm,17.124995mm,Bottom,0.0
L100,46.025005mm,27.024395mm,Bottom,270.0
F100,27.346605000000004mm,28.879995mm,Bottom,270.0
C120,46.175505mm,25.125095mm,Top,90.0
C107,29.575005mm,20.003495mm,Bottom,90.0
C106,33.918105mm,20.028495mm,Bottom,90.0
U110,35.970105000000004mm,19.578095mm,Bottom,0.0
R145,38.930305000000004mm,19.617195000000002mm,Bottom,90.0
R144,37.984805mm,19.617195000000002mm,Bottom,90.0
R143,50.143805mm,13.021795000000001mm,Bottom,0.0
R107,27.996605000000002mm,21.738895mm,Top,90.0
D108,26.625005mm,21.378095000000002mm,Top,270.0
U107,50.171105mm,42.731495mm,Bottom,90.0
U106,36.743205mm,43.417395mm,Top,90.0
C134,51.907405000000004mm,42.731495mm,Bottom,90.0
C126,34.799905mm,43.720195mm,Top,270.0
VD102,54.780005mm,40.471195mm,Bottom,0.0
VD101,59.170005mm,43.824995mm,Bottom,180.0
VD100,59.170005mm,40.471195mm,Bottom,180.0
U109,56.891005mm,41.005195mm,Top,90.0
U103,43.550005mm,18.124995mm,Bottom,0.0
U100,36.874505mm,15.725095mm,Top,180.0
U195,51.025005mm,22.924995000000003mm,Top,180.0
U190,51.025005mm,37.124995mm,Top,180.0
U185,51.025005mm,15.824995000000001mm,Top,180.0
U180,51.025005mm,30.024994999999997mm,Top,180.0
S101,27.760705mm,31.824695mm,Top,90.0
S100,40.875005mm,42.971495mm,Top,180.0
R140,57.075005000000004mm,36.925095mm,Bottom,90.0
R111,45.725005mm,13.124995mm,Bottom,270.0
R112,44.675005mm,13.124995mm,Bottom,270.0
R117,39.425005mm,13.124995mm,Bottom,270.0
R115,41.525005mm,13.124995mm,Bottom,270.0
R116,40.475005mm,13.124995mm,Bottom,270.0
R114,42.575005000000004mm,13.124995mm,Bottom,270.0
R113,43.625005mm,13.124995mm,Bottom,270.0
R110,46.775005mm,13.124995mm,Bottom,270.0
R120,33.588005mm,43.443295mm,Top,90.0
R100,36.875005mm,12.825095000000001mm,Bottom,180.0
R258,57.580105mm,33.582695mm,Bottom,0.0
R255,59.475005mm,12.774995mm,Bottom,0.0
R256,54.875005mm,34.524995mm,Bottom,180.0
R254,57.025005mm,12.674995000000001mm,Top,0.0
R245,58.525005mm,30.225095000000003mm,Bottom,90.0
R227,58.525005mm,25.424995000000003mm,Bottom,90.0
R200,58.525005mm,15.825095000000001mm,Bottom,90.0
R197,49.675005mm,22.925095mm,Bottom,270.0
R196,52.475005mm,22.924995000000003mm,Bottom,90.0
R195,52.975005mm,25.775095mm,Bottom,0.0
R191,49.675005mm,37.024995mm,Bottom,270.0
R190,52.475005mm,37.024995mm,Bottom,90.0
R186,49.675005mm,15.824995000000001mm,Bottom,270.0
R185,52.475005mm,15.824995000000001mm,Bottom,90.0
R181,49.675005mm,30.024994999999997mm,Bottom,270.0
R180,52.475005mm,30.024994999999997mm,Bottom,90.0
R139,59.575005000000004mm,38.124995mm,Top,0.0
R138,59.575005000000004mm,36.924995mm,Top,0.0
R137,59.575005000000004mm,35.724995mm,Top,0.0
R136,59.575005000000004mm,34.524995mm,Top,0.0
R135,58.575005000000004mm,38.124995mm,Top,180.0
R132,58.575005000000004mm,36.924995mm,Top,180.0
R126,58.575005000000004mm,35.724995mm,Top,180.0
R124,58.575005000000004mm,34.524995mm,Top,180.0
R119,45.675005mm,13.724995mm,Top,180.0
R118,41.575005000000004mm,13.724995mm,Top,180.0
R253,59.575005000000004mm,32.124995mm,Top,180.0
R252,59.575005000000004mm,30.924995000000003mm,Top,180.0
R251,59.575005000000004mm,29.724995mm,Top,180.0
R250,59.575005000000004mm,28.524994999999997mm,Top,180.0
R249,58.575005000000004mm,32.124995mm,Top,0.0
R248,58.575005000000004mm,30.924995000000003mm,Top,0.0
R247,58.575005000000004mm,29.724995mm,Top,0.0
R246,58.575005000000004mm,28.524994999999997mm,Top,0.0
R235,59.575005000000004mm,27.324995mm,Top,180.0
R234,59.575005000000004mm,26.124995mm,Top,180.0
R233,59.575005000000004mm,24.924995000000003mm,Top,180.0
R232,59.575005000000004mm,23.724995mm,Top,180.0
R231,58.575005000000004mm,27.324995mm,Top,0.0
R230,58.575005000000004mm,26.124995mm,Top,0.0
R229,58.575005000000004mm,24.924995000000003mm,Top,0.0
R228,58.575005000000004mm,23.724995mm,Top,0.0
R226,59.575005000000004mm,22.524995mm,Top,0.0
R225,59.575005000000004mm,21.324995mm,Top,0.0
R224,59.575005000000004mm,20.124995mm,Top,0.0
R223,59.575005000000004mm,18.924995mm,Top,0.0
R222,58.575005000000004mm,22.524995mm,Top,180.0
R221,58.575005000000004mm,21.324995mm,Top,180.0
R220,58.575005000000004mm,20.124995mm,Top,180.0
R219,58.575005000000004mm,18.924995mm,Top,180.0
R218,58.525005mm,20.624995mm,Bottom,90.0
R208,59.575005000000004mm,17.724995mm,Top,0.0
R207,59.575005000000004mm,16.524995mm,Top,0.0
R206,59.575005000000004mm,15.324995000000001mm,Top,0.0
R205,59.575005000000004mm,14.124995mm,Top,0.0
R204,58.575005000000004mm,17.724995mm,Top,180.0
R203,58.575005000000004mm,16.524995mm,Top,180.0
R202,58.575005000000004mm,15.324995000000001mm,Top,180.0
R201,58.575005000000004mm,14.124995mm,Top,180.0
P106,47.625005mm,35.024995mm,Top,0.0
P105,47.625005mm,27.404995mm,Top,0.0
P104,47.625005mm,31.414994999999998mm,Top,0.0
P201,59.075005000000004mm,33.374995mm,Top,180.0
P200,60.575005000000004mm,12.824995mm,Top,180.0
J100,37.775005mm,38.574995mm,Bottom,180.0
D100,37.582705000000004mm,16.224995mm,Bottom,270.0
D205,52.318605000000005mm,42.821495mm,Top,180.0
D206,55.775005mm,30.324995mm,Top,270.0
D203,55.775005mm,25.524995mm,Top,270.0
D200,55.775005mm,15.924995mm,Top,270.0
D116,46.975505mm,17.261095mm,Top,270.0
D115,46.975505mm,21.499395mm,Top,270.0
D114,45.04210500000001mm,17.261095mm,Top,270.0
D113,45.04210500000001mm,21.499395mm,Top,270.0
D112,43.108805000000004mm,17.261095mm,Top,270.0
D111,43.108805000000004mm,21.499395mm,Top,270.0
D110,41.175505mm,17.261095mm,Top,270.0
D109,41.036105000000006mm,21.378095000000002mm,Top,270.0
D202,55.775005mm,20.724995mm,Top,270.0
C143,56.675005mm,34.524995mm,Top,0.0
C144,56.675005mm,35.724995mm,Top,180.0
C145,56.675005mm,36.924995mm,Top,0.0
C146,56.675005mm,38.124995mm,Top,0.0
C112,47.289705mm,23.437195000000003mm,Bottom,90.0
C111,47.775005mm,13.124995mm,Bottom,270.0
C123,29.150005mm,38.724995mm,Bottom,90.0
C117,27.882505000000002mm,38.724995mm,Bottom,90.0
C105,35.375005mm,16.924995mm,Bottom,90.0
C100,35.375005mm,14.352495000000001mm,Bottom,270.0
C229,57.580105mm,34.524995mm,Bottom,180.0
C224,58.975005mm,12.674995000000001mm,Top,180.0
C223,54.725005mm,12.674995000000001mm,Top,180.0
C222,57.675005mm,12.724995mm,Bottom,0.0
C221,54.902205mm,32.947695mm,Top,0.0
C220,54.875005mm,32.840295mm,Bottom,0.0
C225,55.825005000000004mm,28.325094999999997mm,Bottom,0.0
C226,55.825005000000004mm,29.424995000000003mm,Bottom,0.0
C227,55.825005000000004mm,31.575094999999997mm,Bottom,0.0
C228,58.580105mm,32.640295mm,Bottom,180.0
C212,55.825005000000004mm,23.525095mm,Bottom,0.0
C213,55.825005000000004mm,24.624995mm,Bottom,0.0
C214,55.825005000000004mm,26.775095mm,Bottom,0.0
C215,58.580105mm,27.819395mm,Bottom,180.0
C200,55.825005000000004mm,13.925095mm,Bottom,0.0
C201,55.825005000000004mm,15.024995mm,Bottom,0.0
C202,55.825005000000004mm,17.175095mm,Bottom,0.0
C203,58.580105mm,18.215495mm,Bottom,180.0
C195,50.375005mm,25.775095mm,Bottom,0.0
C190,50.525005mm,39.874995mm,Bottom,0.0
C185,50.375005mm,18.674995mm,Bottom,0.0
C180,50.375005mm,32.874995mm,Bottom,0.0
C142,59.575005000000004mm,38.124995mm,Bottom,0.0
C141,59.575005000000004mm,36.924995mm,Bottom,0.0
C139,59.575005000000004mm,35.725095mm,Bottom,180.0
C135,59.575005000000004mm,34.524995mm,Bottom,0.0
C211,58.580105mm,23.033095mm,Bottom,180.0
C210,55.825005000000004mm,21.975095mm,Bottom,0.0
C209,55.825005000000004mm,19.824995mm,Bottom,0.0
C208,55.825005000000004mm,18.725095mm,Bottom,0.0
C147,42.166305mm,29.474995mm,Bottom,270.0
F101,28.977805000000004mm,14.424995mm,Bottom,180.0
R134,29.475005000000003mm,23.674995000000003mm,Bottom,90.0
R133,28.300005mm,23.674995000000003mm,Bottom,90.0
C133,31.585005000000002mm,23.824995mm,Bottom,180.0
R131,46.231205mm,30.620995mm,Bottom,270.0
R130,41.050005mm,23.925095mm,Bottom,180.0
R129,44.925005mm,23.925095mm,Bottom,180.0
Y101,33.157605000000004mm,26.212395mm,Bottom,90.0
C116,34.646405mm,27.153595000000003mm,Bottom,270.0
C115,34.632705mm,25.289395mm,Bottom,90.0
C124,43.306105mm,29.474995mm,Bottom,90.0
R121,26.798005000000003mm,39.150395mm,Bottom,270.0
R106,28.650005mm,32.974995mm,Bottom,90.0
J101,27.925005mm,38.324995mm,Top,270.0
C108,31.575005mm,25.424995000000003mm,Bottom,90.0
R105,44.193905mm,43.374095mm,Top,90.0
R104,45.383905mm,43.174095mm,Top,90.0
